name,price,originalPrice,description,image,category,features,inStock,featured
Ultrawide Monitor,399.99,499.99,34-inch ultrawide monitor with 144Hz refresh rate,https://images.unsplash.com/photo-1527443224154-c4a3942d3acf?w=400,Computers,34 inch;144Hz;USB-C Hub,true,true
Ergonomic Office Chair,249.99,329.99,Adjustable office chair with lumbar support,https://images.unsplash.com/photo-1541558869434-2840d308329a?w=400,Computers,Lumbar Support;Adjustable Height;Breathable Mesh,true,false
Portable SSD,149.99,199.99,1TB portable SSD with USB-C connectivity,https://images.unsplash.com/photo-1597872200969-2b65d56bd16b?w=400,Computers,1TB Storage;USB-C;Fast Transfer,true,true
Webcam 4K,89.99,119.99,4K webcam with auto-focus and noise reduction,https://images.unsplash.com/photo-1587829741301-dc798b83add3?w=400,Computers,4K Resolution;Auto Focus;Noise Reduction,true,false
Laptop Stand,34.99,44.99,Adjustable aluminum laptop stand for better ergonomics,https://images.unsplash.com/photo-1527443224154-c4a3942d3acf?w=400,Computers,Adjustable Height;Aluminum;Heat Dissipation,true,false
USB Hub,29.99,39.99,7-in-1 USB hub with multiple ports and card readers,https://images.unsplash.com/photo-1597872200969-2b65d56bd16b?w=400,Computers,7 Ports;Card Reader;Compact Design,true,true
Desktop PC Case,79.99,99.99,Mid-tower PC case with tempered glass panel,https://images.unsplash.com/photo-1587829741301-dc798b83add3?w=400,Computers,Tempered Glass;RGB Lighting;Cable Management,true,false
Wireless Router,119.99,149.99,WiFi 6 router with mesh capability and parental controls,https://images.unsplash.com/photo-1606904825846-647eb5eec269?w=400,Computers,WiFi 6;Mesh Support;Parental Controls,true,false
Wireless Earbuds Pro,199.99,249.99,Premium wireless earbuds with active noise cancellation,https://images.unsplash.com/photo-1590658268037-6bf12165a8df?w=400,Electronics,ANC;30h Battery;Wireless Charging,true,true
Smart Watch,299.99,399.99,Fitness tracking smartwatch with heart rate monitor,https://images.unsplash.com/photo-1546868871-7041f2a55e12?w=400,Electronics,Heart Rate Monitor;GPS;Water Resistant,true,false
Bluetooth Speaker,79.99,99.99,Portable Bluetooth speaker with 360-degree sound,https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?w=400,Electronics,360° Sound;20h Battery;IPX7 Waterproof,true,true
Power Bank,39.99,49.99,20000mAh power bank with fast charging and multiple ports,https://images.unsplash.com/photo-1609091839311-d5365f9ff1c5?w=400,Electronics,20000mAh;Fast Charging;Multiple Ports,true,false
Action Camera,189.99,239.99,4K action camera with image stabilization,https://images.unsplash.com/photo-1502920917128-1aa500764cbd?w=400,Electronics,4K Video;Image Stabilization;Waterproof,true,true
Smart Home Hub,129.99,159.99,Voice-controlled smart home hub with built-in speaker,https://images.unsplash.com/photo-1518444065439-e933c06ce9cd?w=400,Electronics,Voice Control;Smart Home Integration;Built-in Speaker,true,false
Drone with Camera,249.99,319.99,Compact drone with 4K camera and GPS,https://images.unsplash.com/photo-1473968512647-3e447244af8f?w=400,Electronics,4K Camera;GPS;Obstacle Avoidance,true,false
Wireless Charger Stand,34.99,44.99,Fast wireless charging stand with adjustable angle,https://images.unsplash.com/photo-1583394838336-acd977736f90?w=400,Electronics,15W Fast Charging;Adjustable Angle;LED Indicator,true,true
Tablet,329.99,429.99,10-inch tablet with stylus support and long battery life,https://images.unsplash.com/photo-1544244015-0df4b3ffc6b0?w=400,Electronics,10 inch Display;Stylus Support;12h Battery,true,false
Dash Cam,89.99,119.99,Full HD dash cam with night vision and G-sensor,https://images.unsplash.com/photo-1449824913935-59a10b8d2000?w=400,Electronics,Full HD;Night Vision;G-sensor,true,false
Designer Jeans,89.99,129.99,Premium denim jeans with modern fit and stretch,https://images.unsplash.com/photo-1542272604-787c3835535d?w=400,Fashion,Stretch Denim;Modern Fit;Premium Quality,true,true
Leather Jacket,199.99,299.99,Genuine leather jacket with classic biker style,https://images.unsplash.com/photo-1551028719-00167b16eac5?w=400,Fashion,Genuine Leather;Classic Design;Multiple Sizes,true,false
Cashmere Sweater,149.99,199.99,Soft cashmere sweater in multiple colors,https://images.unsplash.com/photo-1434389677669-e08b4cac3105?w=400,Fashion,100% Cashmere;Multiple Colors;Machine Washable,true,true
Running Shoes,119.99,159.99,Lightweight running shoes with advanced cushioning,https://images.unsplash.com/photo-1549298916-b41d501d3772?w=400,Fashion,Advanced Cushioning;Lightweight;Breathable,true,false
Silk Scarf,59.99,79.99,Pure silk scarf with elegant pattern design,https://images.unsplash.com/photo-1520903920243-00d872a2d1c9?w=400,Fashion,100% Silk;Elegant Pattern;Multiple Ways to Wear,true,false
Winter Coat,179.99,249.99,Warm winter coat with down filling and water resistance,https://images.unsplash.com/photo-1544966503-7cc5ac882d5f?w=400,Fashion,Down Filling;Water Resistant;Multiple Pockets,true,true
Formal Dress,129.99,179.99,Elegant formal dress perfect for special occasions,https://images.unsplash.com/photo-1566479179817-c0b739096d8e?w=400,Fashion,Elegant Design;Multiple Sizes;Dry Clean Only,true,false
Sneakers,79.99,99.99,Comfortable casual sneakers with modern design,https://images.unsplash.com/photo-1549298916-b41d501d3772?w=400,Fashion,Comfortable Sole;Modern Design;Versatile Style,true,true
Handbag,159.99,219.99,Designer handbag with premium materials and craftsmanship,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400,Fashion,Premium Materials;Multiple Compartments;Adjustable Strap,true,false
Belt,49.99,69.99,Genuine leather belt with reversible design,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400,Fashion,Genuine Leather;Reversible;Adjustable Size,true,false
Memory Foam Mattress,599.99,799.99,Queen size memory foam mattress with cooling gel,https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=400,Home & Living,Memory Foam;Cooling Gel;10 Year Warranty,true,true
Coffee Maker,129.99,169.99,Programmable coffee maker with thermal carafe,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?w=400,Home & Living,Programmable;Thermal Carafe;12 Cup Capacity,true,false
Air Purifier,199.99,249.99,HEPA air purifier with smart controls and app connectivity,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=400,Home & Living,HEPA Filter;Smart Controls;App Connectivity,true,true
Table Lamp,79.99,99.99,Modern LED table lamp with touch controls and dimming,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=400,Home & Living,LED Technology;Touch Controls;Dimmable,true,false
Throw Pillows Set,39.99,54.99,Set of 4 decorative throw pillows with covers,https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=400,Home & Living,4 Pillows;Removable Covers;Multiple Colors,true,false
Kitchen Knife Set,89.99,129.99,Professional kitchen knife set with wooden block,https://images.unsplash.com/photo-1594736797933-d0501ba2fe65?w=400,Home & Living,Professional Grade;Wooden Block;Dishwasher Safe,true,true
Vacuum Cleaner,249.99,319.99,Cordless vacuum cleaner with multiple attachments,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=400,Home & Living,Cordless;Multiple Attachments;HEPA Filter,true,false
Area Rug,159.99,219.99,Modern geometric area rug in multiple sizes,https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=400,Home & Living,Modern Design;Multiple Sizes;Easy to Clean,true,true
Candle Set,29.99,39.99,Aromatherapy candle set with natural soy wax,https://images.unsplash.com/photo-1602874801006-df2b4a785b4d?w=400,Home & Living,Natural Soy Wax;3 Scents;50 Hour Burn Time,true,false
Storage Ottoman,69.99,89.99,Multi-functional storage ottoman with velvet upholstery,https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=400,Home & Living,Storage Space;Velvet Upholstery;Multi-functional,true,false
DSLR Camera,899.99,1199.99,Professional DSLR camera with 24MP sensor,https://images.unsplash.com/photo-1502920917128-1aa500764cbd?w=400,Photography,24MP Sensor;4K Video;Weather Sealed,true,true
Camera Lens,349.99,449.99,85mm portrait lens with image stabilization,https://images.unsplash.com/photo-1502920917128-1aa500764cbd?w=400,Photography,85mm Focal Length;Image Stabilization;Weather Resistant,true,false
Tripod,129.99,169.99,Carbon fiber tripod with ball head and carrying case,https://images.unsplash.com/photo-1502920917128-1aa500764cbd?w=400,Photography,Carbon Fiber;Ball Head;Carrying Case,true,true
Camera Bag,79.99,99.99,Professional camera bag with customizable dividers,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400,Photography,Customizable Dividers;Weather Resistant;Multiple Pockets,true,false
Flash Unit,199.99,249.99,External flash unit with wireless trigger capability,https://images.unsplash.com/photo-1502920917128-1aa500764cbd?w=400,Photography,Wireless Trigger;TTL Support;Swivel Head,true,false
Memory Cards,34.99,44.99,High-speed SD memory cards pack for photography,https://images.unsplash.com/photo-1597872200969-2b65d56bd16b?w=400,Photography,High Speed;64GB Capacity;2 Pack,true,true
Camera Strap,24.99,32.99,Comfortable camera strap with quick-release system,https://images.unsplash.com/photo-1502920917128-1aa500764cbd?w=400,Photography,Quick Release;Padded;Adjustable Length,true,false
Light Reflector,39.99,49.99,5-in-1 collapsible light reflector for portrait photography,https://images.unsplash.com/photo-1502920917128-1aa500764cbd?w=400,Photography,5-in-1 Design;Collapsible;Multiple Surfaces,true,true
Camera Cleaning Kit,19.99,26.99,Complete camera cleaning kit with all essential tools,https://images.unsplash.com/photo-1502920917128-1aa500764cbd?w=400,Photography,Complete Kit;Safe for Lenses;Microfiber Cloths,true,false
Remote Shutter,16.99,22.99,Wireless remote shutter release for cameras,https://images.unsplash.com/photo-1502920917128-1aa500764cbd?w=400,Photography,Wireless;Long Range;Universal Compatibility,true,false
Massage Oil,24.99,32.99,Premium massage oil with natural essential oils,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=400,Sex and Wellness,Natural Essential Oils;Non-staining;Multiple Scents,true,true
Personal Massager,79.99,99.99,Rechargeable personal massager with multiple settings,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=400,Sex and Wellness,Rechargeable;Multiple Settings;Waterproof,true,false
Couples Game,29.99,39.99,Intimate couples card game for relationship building,https://images.unsplash.com/photo-1606092195730-5d7b9af1efc5?w=400,Sex and Wellness,Relationship Building;150 Cards;Communication Focus,true,true
Bath Bombs,19.99,26.99,Aromatherapy bath bombs set with natural ingredients,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=400,Sex and Wellness,Natural Ingredients;6 Pack;Relaxing Scents,true,false
Silk Eye Mask,16.99,22.99,Luxurious silk eye mask for better sleep,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=400,Sex and Wellness,100% Silk;Adjustable Strap;Light Blocking,true,false
Wellness Book,14.99,19.99,Comprehensive guide to intimate wellness and health,https://images.unsplash.com/photo-1481627834876-b7833e8f5570?w=400,Sex and Wellness,Expert Advice;Comprehensive Guide;Discrete Packaging,true,true
Relaxation Candles,34.99,44.99,Set of aromatherapy candles for mood enhancement,https://images.unsplash.com/photo-1602874801006-df2b4a785b4d?w=400,Sex and Wellness,Aromatherapy;Mood Enhancement;Long Burning,true,false
Body Powder,18.99,24.99,Silky body powder with light fragrance,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=400,Sex and Wellness,Silky Texture;Light Fragrance;Natural Ingredients,true,true
Intimate Wipes,12.99,17.99,pH-balanced intimate wipes for freshness,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=400,Sex and Wellness,pH Balanced;Gentle Formula;Travel Pack,true,false
Comfort Pillow,39.99,49.99,Ergonomic comfort pillow for intimate moments,https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=400,Sex and Wellness,Ergonomic Design;Soft Cover;Machine Washable,true,false
Fitness Tracker,149.99,199.99,Advanced fitness tracker with heart rate and sleep monitoring,https://images.unsplash.com/photo-1551698618-1dfe5d97d256?w=400,Wearables,Heart Rate Monitor;Sleep Tracking;7-day Battery,true,true
Smart Ring,199.99,249.99,Sleek smart ring with health tracking capabilities,https://images.unsplash.com/photo-1524592094714-0f0654e20314?w=400,Wearables,Health Tracking;Waterproof;5-day Battery,true,false
Wireless Earphones,89.99,119.99,Comfortable wireless earphones with noise isolation,https://images.unsplash.com/photo-1590658268037-6bf12165a8df?w=400,Wearables,Noise Isolation;8h Battery;Secure Fit,true,true
Smart Glasses,299.99,399.99,AR smart glasses with voice control,https://images.unsplash.com/photo-1511499767150-a48a237f0083?w=400,Wearables,AR Display;Voice Control;Lightweight,true,false
Activity Monitor,79.99,99.99,Basic activity monitor with step counting and calorie tracking,https://images.unsplash.com/photo-1554098415-788601c80fc3?w=400,Wearables,Step Counter;Calorie Tracking;Water Resistant,true,false
Smartwatch Band,24.99,34.99,Premium silicone smartwatch band in multiple colors,https://images.unsplash.com/photo-1524592094714-0f0654e20314?w=400,Wearables,Premium Silicone;Multiple Colors;Easy Installation,true,true
Posture Tracker,59.99,79.99,Wearable posture tracker with smartphone alerts,https://images.unsplash.com/photo-1554098415-788601c80fc3?w=400,Wearables,Posture Monitoring;Smartphone Alerts;All-day Comfort,true,false
Sleep Tracker,69.99,89.99,Under-mattress sleep tracker with app integration,https://images.unsplash.com/photo-1554098415-788601c80fc3?w=400,Wearables,Sleep Analysis;App Integration;No Wearable Required,true,true
Meditation Headband,129.99,159.99,EEG meditation headband with guided sessions,https://images.unsplash.com/photo-1554098415-788601c80fc3?w=400,Wearables,EEG Sensors;Guided Meditation;Progress Tracking,true,false
UV Monitor,34.99,44.99,Wearable UV monitor with sun exposure tracking,https://images.unsplash.com/photo-1554098415-788601c80fc3?w=400,Wearables,UV Monitoring;Sun Exposure Alerts;Water Resistant,true,false 
